#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Fri Aug 27 23:05:36 EDT 2021,20,20,GreetingMainProvided,GreetingClassRegistryProvided+ , ,GreetingMainProvided+ ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,0,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(0.0/2.0) , ,
1,Fri Aug 27 23:05:42 EDT 2021,20,0,GreetingMainProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,0,1,false, , , ,GreetingMainProvided-(0.0/2.0) , ,
2,Fri Aug 27 23:05:44 EDT 2021,20,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,0,2,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
3,Fri Aug 27 23:05:46 EDT 2021,20,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided , ,GreetingMainProvided ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun ,0,3,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
4,Fri Aug 27 23:05:46 EDT 2021,20,0,A01Style,GreetingClassRegistryProvided , ,A01MnemonicNames+ A01NoCheckstyleWarnings+ GreetingMainProvided ,GreetingRun ,0,4,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(0.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
5,Fri Aug 27 23:05:47 EDT 2021,20,0,A01Style,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided ,GreetingRun ,0,5,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(0.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
6,Fri Aug 27 23:05:48 EDT 2021,20,0,GreetingRun,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided GreetingRun+ , ,0,6,false, , , ,GreetingRun-(0.0/6.0) , ,
7,Fri Aug 27 23:05:48 EDT 2021,20,0,GreetingRun,GreetingClassRegistryProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingMainProvided GreetingRun , ,0,7,false, , , ,GreetingRun-(0.0/6.0) , ,
8,Fri Aug 27 23:09:44 EDT 2021,40,20,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided+ , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,1,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
9,Fri Aug 27 23:09:47 EDT 2021,40,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,1,1,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
10,Fri Aug 27 23:09:56 EDT 2021,40,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,1,2,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(0.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
11,Fri Aug 27 23:09:58 EDT 2021,40,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,1,3,false, , , ,GreetingRun-(0.0/6.0) , ,
12,Fri Aug 27 23:13:06 EDT 2021,40,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,2,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
13,Fri Aug 27 23:13:08 EDT 2021,40,0,GreetingClassRegistryProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,2,1,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
14,Fri Aug 27 23:13:10 EDT 2021,40,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,2,2,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(0.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
15,Fri Aug 27 23:13:55 EDT 2021,40,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,3,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
16,Fri Aug 27 23:13:58 EDT 2021,40,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,3,1,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(0.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
17,Fri Aug 27 23:39:57 EDT 2021,40,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A01MnemonicNames A01NoCheckstyleWarnings GreetingRun , ,4,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
18,Fri Aug 27 23:40:00 EDT 2021,60,20,A01Style,A01MnemonicNames+ GreetingClassRegistryProvided GreetingMainProvided , ,A01NoCheckstyleWarnings GreetingRun , ,4,1,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(2.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
19,Fri Aug 27 23:40:02 EDT 2021,60,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided , ,A01NoCheckstyleWarnings GreetingRun , ,4,2,false, , , ,GreetingRun-(0.0/6.0) , ,
20,Fri Aug 27 23:44:10 EDT 2021,60,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided , ,A01NoCheckstyleWarnings GreetingRun , ,5,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
21,Fri Aug 27 23:44:13 EDT 2021,60,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided , ,A01NoCheckstyleWarnings GreetingRun , ,5,1,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(2.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
22,Fri Aug 27 23:44:37 EDT 2021,80,20,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun+ , ,A01NoCheckstyleWarnings , ,5,2,false, , , ,GreetingRun-(6.0/6.0) , ,
23,Fri Aug 27 23:49:26 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,6,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
24,Fri Aug 27 23:49:27 EDT 2021,80,0,GreetingClassRegistryProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,6,1,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
25,Fri Aug 27 23:49:30 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,6,2,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(2.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
26,Fri Aug 27 23:49:36 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,6,3,false, , , ,GreetingRun-(6.0/6.0) , ,
27,Fri Aug 27 23:50:18 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,7,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
28,Fri Aug 27 23:50:21 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,7,1,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(2.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
29,Fri Aug 27 23:50:24 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,7,2,false, , , ,GreetingRun-(6.0/6.0) , ,
30,Fri Aug 27 23:54:14 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,8,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
31,Fri Aug 27 23:54:17 EDT 2021,60,-20,A01Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames- ,A01NoCheckstyleWarnings , ,8,1,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(1.5/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
32,Fri Aug 27 23:54:19 EDT 2021,60,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,8,2,false, , , ,GreetingRun-(6.0/6.0) , ,
33,Fri Aug 27 23:54:21 EDT 2021,60,0,A01MnemonicNames,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,8,3,false, , , ,A01MnemonicNames-(1.5/2.0) , ,
34,Fri Aug 27 23:54:49 EDT 2021,60,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,9,0,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(1.5/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
35,Fri Aug 27 23:56:43 EDT 2021,60,0,A01Style,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,10,0,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(1.5/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
36,Fri Aug 27 23:56:45 EDT 2021,60,0,A01MnemonicNames,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,10,1,false, , , ,A01MnemonicNames-(1.5/2.0) , ,
37,Fri Aug 27 23:57:11 EDT 2021,60,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,10,2,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
38,Fri Aug 27 23:57:14 EDT 2021,60,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,10,3,false, , , ,GreetingRun-(6.0/6.0) , ,
39,Fri Aug 27 23:57:56 EDT 2021,60,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,A01MnemonicNames ,A01NoCheckstyleWarnings , ,11,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
40,Fri Aug 27 23:57:59 EDT 2021,80,20,A01Style,A01MnemonicNames+ GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,11,1,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(2.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
41,Fri Aug 27 23:58:01 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,11,2,false, , , ,GreetingRun-(6.0/6.0) , ,
42,Sat Aug 28 00:01:31 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,12,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
43,Sat Aug 28 00:01:34 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,12,1,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(2.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
44,Sat Aug 28 00:01:35 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,12,2,false, , , ,GreetingRun-(6.0/6.0) , ,
45,Sat Aug 28 00:16:34 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,13,0,false, ,GreetingClassRegistryProvided , ,GreetingMainProvided-(2.0/2.0) , ,
46,Sat Aug 28 00:16:37 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,13,1,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(2.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
47,Sat Aug 28 00:16:38 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,13,2,false, , , ,GreetingRun-(6.0/6.0) , ,
48,Sat Aug 28 00:25:58 EDT 2021,80,0,GreetingClassRegistryProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,14,0,false, , , ,GreetingClassRegistryProvided-(2.0/2.0) , ,
49,Sat Aug 28 00:25:59 EDT 2021,80,0,GreetingMainProvided,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,14,1,false, , , ,GreetingMainProvided-(2.0/2.0) , ,
50,Sat Aug 28 00:26:02 EDT 2021,80,0,A01Style,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,14,2,true,A01MnemonicNames A01NoCheckstyleWarnings , ,A01NoCheckstyleWarnings ,A01MnemonicNames-(2.0/2.0) A01NoCheckstyleWarnings-(0.0/2.0) , ,
51,Sat Aug 28 00:26:05 EDT 2021,80,0,GreetingRun,A01MnemonicNames GreetingClassRegistryProvided GreetingMainProvided GreetingRun , ,A01NoCheckstyleWarnings , ,14,3,false, , , ,GreetingRun-(6.0/6.0) , ,
